dep;vaccin;jour;n_tot_dose1;n_tot_dose2;n_tot_dose3;n_tot_dose4;n_tot_rappel
978;3;2022-02-28;204;116;1;0;1
978;4;2022-02-28;71;1;0;0;1
978;5;2022-02-28;38;26;1;0;1
01;0;2022-02-28;487298;465544;309210;1188;351262
02;0;2022-02-28;418694;403922;287676;998;315491
03;0;2022-02-28;272129;264679;200242;715;213667
04;0;2022-02-28;118890;113149;78362;224;86167
05;0;2022-02-28;109185;103608;70636;255;78936
06;0;2022-02-28;855249;806963;555489;1961;616661
07;0;2022-02-28;250026;240246;165894;525;184117
08;0;2022-02-28;213304;206468;149662;563;162933
09;0;2022-02-28;114280;110015;80408;193;84673
10;0;2022-02-28;237673;229481;166363;463;179491
11;0;2022-02-28;288509;276944;201283;470;214309
12;0;2022-02-28;219127;211913;155621;373;165315
13;0;2022-02-28;1489277;1392609;921581;3257;1032108
14;0;2022-02-28;579260;563705;424203;1385;450870
15;0;2022-02-28;119186;116516;89756;326;94489
16;0;2022-02-28;285842;278531;211355;810;222143
17;0;2022-02-28;555828;540784;408483;1509;427567
18;0;2022-02-28;241793;235071;176143;701;188928
19;0;2022-02-28;194402;189210;143248;276;149799
21;0;2022-02-28;419730;405189;292463;1133;315769
22;0;2022-02-28;511176;498944;383595;1451;399253
23;0;2022-02-28;91804;89751;69174;249;72785
24;0;2022-02-28;332398;322340;241410;994;255954
25;0;2022-02-28;403591;384214;260815;794;291003
26;0;2022-02-28;394968;377797;257086;888;284364
27;0;2022-02-28;480044;464110;332249;844;360573
28;0;2022-02-28;343233;332410;242341;659;260364
29;0;2022-02-28;776663;761001;596441;2433;612459
2A;0;2022-02-28;113444;109336;79109;188;82075
2B;0;2022-02-28;121889;116388;83545;184;88310
30;0;2022-02-28;578698;549794;381024;1258;420803
31;0;2022-02-28;1081682;1035856;724202;2045;782881
32;0;2022-02-28;155137;150693;113686;260;119108
33;0;2022-02-28;1332878;1285286;931414;3418;988904
34;0;2022-02-28;919192;874503;614474;1994;663884
35;0;2022-02-28;886144;859674;625707;2157;665456
36;0;2022-02-28;177759;173043;132012;442;141046
37;0;2022-02-28;499322;483619;357217;1275;384148
38;0;2022-02-28;1004220;959481;647065;2480;725291
39;0;2022-02-28;199654;191390;132402;409;148319
40;0;2022-02-28;352877;343355;257815;897;270238
41;0;2022-02-28;271002;262937;197344;927;211763
42;0;2022-02-28;589926;560240;371259;1097;428655
43;0;2022-02-28;177063;169191;114497;367;129884
44;0;2022-02-28;1172442;1138360;823813;2773;874017
45;0;2022-02-28;536001;515933;373748;1447;403992
46;0;2022-02-28;136206;132416;100566;289;104236
47;0;2022-02-28;261637;253012;185741;520;194263
48;0;2022-02-28;57698;55152;38852;103;42434
49;0;2022-02-28;662779;643407;466585;1575;501070
50;0;2022-02-28;421448;411710;316114;1351;332633
51;0;2022-02-28;443414;428304;310406;1016;337615
52;0;2022-02-28;135422;131170;96171;322;105522
53;0;2022-02-28;251180;244632;179869;634;193254
54;0;2022-02-28;568119;547741;395979;1693;433032
55;0;2022-02-28;145470;140717;102651;573;112642
56;0;2022-02-28;645647;629310;472638;1481;495640
57;0;2022-02-28;809480;779491;562057;2336;612026
58;0;2022-02-28;165199;160806;121532;498;130781
59;0;2022-02-28;2018948;1932471;1342864;5641;1499586
60;0;2022-02-28;634758;605179;413280;1466;458866
61;0;2022-02-28;226487;220066;164236;502;176521
62;0;2022-02-28;1195082;1156499;832197;4122;918096
